Actual,Predicted
18.0,14
23.0,15
23.0,12
16.0,14
9.0,12
8.0,14
1.0,12
11.0,15
2.0,15
21.0,12
5.0,12
20.0,12
2.0,12
5.0,15
4.0,12
16.0,15
23.0,15
10.0,15
2.0,10
3.0,12
2.0,12
4.0,10
6.0,12
9.0,17
11.0,12
6.0,14
15.0,14
16.0,12
23.0,14
0.0,12
8.0,12
4.0,15
4.0,14
9.0,15
1.0,12
7.0,12
16.0,12
23.0,15
8.0,12
2.0,10
1.0,10
4.0,15
4.0,17
8.0,12
-1.0,12
2.0,10
5.0,12
3.0,12
18.0,14
3.0,15
6.0,15
4.0,15
15.0,12
3.0,11
5.0,14
3.0,12
3.0,11
20.0,15
3.0,14
6.0,14
4.0,12
7.0,14
0.0,12
23.0,14
2.0,12
7.0,12
18.0,12
23.0,17
16.0,12
18.0,12
8.0,12
10.0,14
12.0,11
6.0,14
7.0,12
6.0,12
23.0,15
23.0,17
23.0,17
12.0,17
23.0,17
0.0,11
23.0,17
5.0,15
11.0,14
3.0,10
2.0,10
23.0,14
23.0,12
5.0,12
11.0,15
9.0,12
14.0,15
2.0,15
8.0,15
6.0,12
5.0,12
3.0,12
22.0,15
5.0,14
3.0,12
3.0,15
23.0,14
12.0,12
9.0,12
7.0,12
5.0,12
3.0,12
19.0,12
1.0,15
2.0,12
10.0,12
1.0,10
11.0,14
14.0,12
10.0,15
8.0,15
6.0,12
23.0,12
2.0,12
22.0,12
1.0,12
2.0,11
3.0,15
7.0,12
3.0,14
18.0,14
2.0,12
8.0,12
12.0,15
15.0,12
19.0,14
8.0,14
2.0,15
6.0,12
11.0,15
7.0,12
1.0,12
22.0,12
2.0,12
5.0,14
0.0,14
3.0,12
20.0,12
8.0,11
3.0,12
16.0,14
1.0,15
13.0,17
1.0,10
10.0,15
7.0,15
3.0,15
2.0,10
23.0,15
5.0,12
8.0,15
6.0,11
7.0,12
20.0,15
3.0,10
5.0,11
7.0,12
4.0,12
2.0,11
18.0,15
3.0,17
8.0,12
11.0,12
9.0,12
23.0,15
10.0,14
6.0,12
7.0,12
3.0,15
5.0,12
11.0,15
6.0,15
8.0,10
7.0,12
23.0,15
7.0,12
20.0,12
23.0,14
22.0,15
7.0,12
19.0,15
3.0,12
1.0,11
8.0,12
23.0,12
3.0,12
3.0,14
4.0,14
19.0,15
23.0,15
10.0,17
10.0,12
6.0,15
6.0,14
3.0,11
5.0,10
22.0,14
23.0,15
6.0,10
23.0,14
4.0,14
2.0,12
4.0,12
2.0,15
4.0,12
7.0,12
6.0,11
3.0,15
12.0,15
0.0,15
0.0,12
5.0,12
2.0,15
5.0,12
17.0,12
16.0,15
3.0,12
2.0,15
3.0,14
8.0,15
11.0,12
2.0,12
2.0,10
23.0,14
13.0,12
11.0,12
3.0,12
8.0,10
17.0,12
9.0,12
22.0,14
8.0,15
9.0,14
23.0,12
1.0,12
6.0,14
2.0,17
5.0,14
8.0,14
7.0,14
2.0,12
6.0,14
6.0,15
1.0,11
11.0,12
9.0,14
8.0,14
2.0,12
23.0,15
2.0,12
23.0,14
2.0,11
3.0,15
7.0,14
14.0,15
5.0,10
3.0,12
20.0,12
22.0,14
16.0,11
5.0,15
5.0,12
13.0,12
5.0,12
5.0,12
7.0,15
4.0,15
5.0,17
16.0,14
13.0,12
3.0,10
23.0,17
1.0,12
8.0,12
11.0,12
14.0,12
5.0,14
4.0,17
2.0,10
3.0,14
23.0,12
4.0,12
5.0,12
4.0,12
4.0,15
13.0,12
22.0,12
7.0,15
11.0,12
13.0,12
2.0,15
13.0,14
6.0,12
1.0,10
6.0,14
1.0,12
1.0,10
4.0,17
11.0,12
4.0,12
0.0,12
7.0,11
7.0,15
3.0,11
4.0,11
7.0,12
6.0,12
0.0,15
16.0,15
7.0,12
23.0,14
4.0,12
3.0,12
23.0,15
4.0,12
9.0,11
1.0,12
3.0,14
3.0,12
11.0,12
6.0,14
23.0,14
21.0,14
13.0,12
8.0,12
12.0,12
23.0,15
14.0,12
1.0,12
1.0,12
18.0,17
14.0,12
6.0,12
3.0,14
23.0,17
10.0,12
11.0,12
20.0,14
4.0,12
22.0,12
23.0,14
19.0,15
23.0,12
2.0,12
4.0,15
1.0,12
8.0,12
16.0,14
15.0,12
11.0,14
23.0,15
23.0,15
23.0,14
0.0,11
7.0,14
0.0,17
10.0,14
16.0,14
5.0,12
14.0,12
8.0,12
4.0,15
6.0,12
14.0,14
3.0,12
2.0,12
21.0,15
6.0,14
0.0,12
8.0,12
6.0,15
6.0,15
7.0,12
11.0,15
6.0,15
0.0,10
9.0,12
-1.0,12
4.0,12
14.0,14
7.0,14
23.0,14
23.0,14
18.0,12
4.0,12
19.0,15
6.0,10
4.0,15
4.0,12
16.0,12
1.0,10
3.0,12
8.0,14
3.0,12
20.0,15
4.0,14
2.0,12
7.0,12
10.0,12
15.0,12
0.0,12
4.0,12
23.0,12
14.0,11
7.0,15
8.0,15
14.0,15
4.0,14
11.0,12
5.0,14
23.0,12
6.0,12
3.0,12
3.0,12
18.0,12
23.0,14
23.0,15
2.0,12
11.0,14
6.0,12
13.0,12
2.0,14
5.0,12
23.0,14
7.0,14
3.0,10
9.0,12
4.0,15
23.0,12
2.0,12
2.0,11
5.0,12
9.0,12
2.0,12
5.0,12
6.0,12
2.0,10
18.0,15
4.0,10
4.0,10
6.0,15
5.0,15
23.0,15
3.0,12
8.0,12
6.0,12
23.0,14
6.0,12
23.0,14
5.0,12
4.0,11
7.0,15
2.0,10
12.0,12
3.0,12
2.0,15
14.0,17
3.0,11
3.0,12
2.0,10
4.0,12
7.0,12
7.0,12
2.0,14
23.0,15
18.0,12
7.0,12
14.0,15
6.0,12
11.0,12
19.0,12
1.0,10
0.0,17
7.0,15
1.0,15
2.0,15
14.0,12
18.0,12
2.0,12
7.0,12
23.0,14
15.0,15
1.0,12
3.0,12
2.0,15
3.0,12
4.0,12
3.0,12
1.0,10
10.0,12
4.0,14
7.0,10
5.0,14
4.0,15
4.0,12
7.0,12
1.0,10
14.0,15
19.0,12
7.0,15
4.0,12
2.0,10
4.0,12
10.0,15
6.0,11
12.0,15
3.0,12
4.0,15
12.0,12
0.0,12
4.0,12
16.0,14
5.0,15
22.0,14
1.0,10
0.0,17
2.0,12
6.0,12
4.0,12
8.0,15
1.0,12
5.0,12
6.0,12
1.0,10
2.0,10
3.0,10
13.0,12
5.0,11
13.0,15
23.0,14
6.0,14
2.0,12
23.0,14
7.0,12
23.0,12
5.0,14
5.0,12
23.0,15
0.0,14
1.0,14
0.0,12
12.0,15
12.0,14
6.0,12
15.0,12
4.0,15
14.0,12
1.0,17
1.0,10
11.0,14
1.0,11
11.0,14
5.0,12
13.0,14
13.0,12
8.0,14
1.0,12
2.0,12
7.0,10
23.0,12
2.0,12
23.0,17
0.0,17
11.0,17
4.0,12
6.0,14
23.0,15
23.0,15
3.0,10
10.0,12
3.0,11
17.0,12
11.0,15
13.0,15
20.0,12
4.0,15
9.0,12
9.0,10
18.0,15
8.0,12
2.0,10
8.0,12
9.0,12
5.0,12
3.0,17
4.0,15
7.0,14
3.0,15
6.0,10
3.0,10
23.0,14
6.0,17
4.0,15
2.0,12
8.0,15
2.0,14
16.0,12
1.0,12
6.0,12
5.0,14
23.0,14
7.0,12
10.0,12
23.0,15
4.0,15
2.0,10
13.0,15
7.0,12
6.0,12
2.0,15
13.0,12
21.0,14
10.0,12
23.0,15
2.0,10
8.0,12
4.0,12
0.0,12
17.0,14
1.0,10
4.0,14
0.0,12
10.0,12
4.0,12
4.0,12
23.0,14
4.0,12
2.0,10
10.0,12
23.0,17
9.0,15
10.0,10
10.0,17
5.0,10
21.0,14
12.0,12
9.0,12
6.0,12
2.0,10
5.0,12
15.0,15
6.0,12
2.0,15
3.0,12
4.0,11
23.0,14
6.0,12
6.0,14
4.0,10
0.0,15
9.0,17
7.0,14
5.0,12
3.0,12
9.0,14
8.0,15
4.0,17
0.0,12
5.0,12
9.0,12
2.0,12
5.0,12
6.0,10
2.0,10
3.0,14
0.0,14
10.0,12
2.0,14
8.0,17
5.0,12
10.0,15
6.0,15
6.0,14
4.0,17
7.0,17
15.0,12
13.0,15
15.0,14
3.0,12
5.0,12
3.0,10
23.0,14
6.0,17
0.0,12
1.0,10
2.0,17
7.0,10
0.0,12
11.0,12
11.0,14
14.0,12
7.0,14
9.0,12
5.0,12
6.0,14
22.0,14
4.0,15
7.0,12
23.0,14
13.0,12
8.0,14
8.0,11
2.0,12
7.0,12
7.0,12
23.0,12
2.0,12
4.0,10
6.0,12
4.0,12
5.0,11
4.0,10
23.0,14
4.0,15
22.0,17
1.0,14
23.0,14
5.0,11
5.0,11
3.0,12
1.0,12
5.0,12
4.0,11
8.0,12
23.0,15
5.0,15
1.0,14
6.0,12
7.0,12
23.0,15
3.0,12
4.0,15
3.0,12
23.0,14
23.0,14
2.0,10
3.0,12
7.0,12
4.0,12
7.0,12
13.0,14
8.0,12
15.0,12
5.0,12
2.0,15
6.0,12
0.0,17
20.0,12
7.0,12
-1.0,11
1.0,10
7.0,12
2.0,12
6.0,12
2.0,12
5.0,12
1.0,10
0.0,14
1.0,10
17.0,12
14.0,14
13.0,12
7.0,15
9.0,12
1.0,12
3.0,12
9.0,12
4.0,15
4.0,10
6.0,10
4.0,12
4.0,10
21.0,12
7.0,14
14.0,14
8.0,12
15.0,15
5.0,11
10.0,15
7.0,12
4.0,17
2.0,15
10.0,10
5.0,14
3.0,12
4.0,12
8.0,12
3.0,14
7.0,12
4.0,12
6.0,12
3.0,15
4.0,12
11.0,15
18.0,14
1.0,10
2.0,12
23.0,12
3.0,15
2.0,15
4.0,12
3.0,14
4.0,12
4.0,12
11.0,10
1.0,14
5.0,12
12.0,15
5.0,14
5.0,14
0.0,14
8.0,14
2.0,12
5.0,14
7.0,12
8.0,12
23.0,15
8.0,10
2.0,11
10.0,12
10.0,12
12.0,14
4.0,12
3.0,11
5.0,15
2.0,14
5.0,11
3.0,12
23.0,12
23.0,15
5.0,14
5.0,14
21.0,14
23.0,14
6.0,12
4.0,10
4.0,12
10.0,17
2.0,10
7.0,12
4.0,14
5.0,12
2.0,14
12.0,14
23.0,15
4.0,10
1.0,10
2.0,15
4.0,12
15.0,14
7.0,12
7.0,15
2.0,12
6.0,17
22.0,12
2.0,17
1.0,10
3.0,12
6.0,15
2.0,15
23.0,17
6.0,15
5.0,15
7.0,17
8.0,12
3.0,12
9.0,12
20.0,15
22.0,14
5.0,12
11.0,12
19.0,12
13.0,12
6.0,11
3.0,15
5.0,15
11.0,12
5.0,15
12.0,12
5.0,12
3.0,11
0.0,10
13.0,15
0.0,12
0.0,12
15.0,12
2.0,10
19.0,14
6.0,14
23.0,15
7.0,12
4.0,12
23.0,14
7.0,14
3.0,11
7.0,12
2.0,15
7.0,14
6.0,15
9.0,14
5.0,12
18.0,15
3.0,12
3.0,12
23.0,15
2.0,12
23.0,12
14.0,12
4.0,12
3.0,10
4.0,12
13.0,12
1.0,12
3.0,10
9.0,15
23.0,14
12.0,12
2.0,12
0.0,10
2.0,10
21.0,12
9.0,12
4.0,14
4.0,15
0.0,12
18.0,14
7.0,12
19.0,15
13.0,15
2.0,10
23.0,15
2.0,10
23.0,15
23.0,15
4.0,12
23.0,12
3.0,10
11.0,14
11.0,12
3.0,14
23.0,15
7.0,14
1.0,12
9.0,12
2.0,11
5.0,15
17.0,14
5.0,12
3.0,12
23.0,14
5.0,12
4.0,14
2.0,10
3.0,10
8.0,11
12.0,15
4.0,10
2.0,12
18.0,14
3.0,15
4.0,15
11.0,14
7.0,14
23.0,17
7.0,15
3.0,12
8.0,12
5.0,12
0.0,12
3.0,12
4.0,14
6.0,15
6.0,12
5.0,12
4.0,12
7.0,11
3.0,10
4.0,14
8.0,15
2.0,10
8.0,12
9.0,12
10.0,12
23.0,15
13.0,12
6.0,12
16.0,14
7.0,12
2.0,14
4.0,15
20.0,12
0.0,12
4.0,12
4.0,15
23.0,15
5.0,12
23.0,14
3.0,10
0.0,12
9.0,14
12.0,12
1.0,15
9.0,14
5.0,11
4.0,14
0.0,14
3.0,15
3.0,12
2.0,14
23.0,15
23.0,15
7.0,12
2.0,12
9.0,12
12.0,15
1.0,12
5.0,12
3.0,12
2.0,17
23.0,14
6.0,14
5.0,15
4.0,15
16.0,12
4.0,12
13.0,17
4.0,12
23.0,12
0.0,15
0.0,12
9.0,15
5.0,12
3.0,12
23.0,14
7.0,12
4.0,10
2.0,10
2.0,10
11.0,12
3.0,12
7.0,15
23.0,14
23.0,12
23.0,17
3.0,12
0.0,11
5.0,12
4.0,12
4.0,15
3.0,12
14.0,12
2.0,15
16.0,14
18.0,12
2.0,10
3.0,15
7.0,17
21.0,15
7.0,14
6.0,12
5.0,12
7.0,12
4.0,12
6.0,12
0.0,14
15.0,15
16.0,12
4.0,14
2.0,14
3.0,14
2.0,15
7.0,12
23.0,15
6.0,11
4.0,14
2.0,12
6.0,11
3.0,14
23.0,15
2.0,12
11.0,12
10.0,12
8.0,14
11.0,12
23.0,12
15.0,14
23.0,12
2.0,12
7.0,14
4.0,15
11.0,12
14.0,12
8.0,14
4.0,14
-1.0,14
8.0,12
8.0,12
11.0,12
1.0,10
13.0,14
4.0,14
2.0,12
3.0,12
1.0,12
9.0,12
3.0,14
5.0,15
6.0,12
9.0,12
23.0,17
17.0,12
6.0,12
3.0,12
2.0,12
2.0,12
1.0,15
6.0,12
21.0,14
19.0,14
10.0,15
6.0,10
2.0,12
10.0,14
6.0,12
2.0,12
6.0,12
10.0,12
2.0,12
4.0,12
2.0,12
0.0,11
1.0,12
14.0,12
8.0,17
0.0,12
4.0,12
7.0,12
4.0,12
10.0,12
23.0,15
12.0,11
6.0,10
2.0,12
6.0,15
3.0,10
2.0,10
1.0,15
16.0,15
22.0,12
1.0,12
4.0,10
13.0,12
23.0,17
10.0,15
12.0,14
0.0,17
8.0,14
5.0,14
4.0,12
0.0,12
5.0,10
3.0,12
14.0,14
4.0,12
5.0,14
5.0,12
15.0,12
0.0,15
6.0,12
5.0,14
3.0,12
3.0,15
7.0,12
8.0,12
23.0,17
7.0,12
23.0,14
6.0,12
23.0,14
10.0,14
23.0,12
11.0,11
10.0,14
1.0,12
5.0,12
23.0,12
4.0,14
16.0,15
2.0,10
5.0,12
5.0,12
5.0,11
11.0,14
4.0,11
6.0,15
9.0,15
19.0,15
11.0,12
6.0,15
2.0,10
21.0,12
23.0,12
23.0,17
8.0,12
9.0,11
4.0,15
6.0,12
23.0,15
18.0,12
9.0,12
4.0,12
3.0,12
5.0,14
2.0,12
11.0,12
9.0,14
18.0,14
1.0,12
0.0,11
19.0,14
11.0,12
23.0,15
3.0,12
23.0,14
10.0,12
4.0,10
9.0,14
0.0,12
2.0,12
2.0,12
5.0,12
17.0,15
7.0,12
16.0,12
13.0,12
2.0,14
1.0,12
5.0,12
5.0,12
12.0,12
9.0,14
11.0,12
3.0,12
5.0,12
4.0,12
4.0,12
2.0,14
23.0,15
13.0,14
14.0,14
5.0,15
7.0,12
1.0,12
13.0,14
5.0,12
13.0,15
7.0,14
2.0,12
17.0,15
23.0,14
8.0,12
6.0,12
6.0,12
5.0,11
2.0,10
3.0,15
2.0,10
4.0,15
15.0,14
8.0,12
11.0,14
2.0,14
15.0,12
2.0,14
2.0,10
2.0,12
7.0,12
7.0,12
23.0,14
11.0,17
3.0,12
13.0,14
1.0,12
4.0,15
21.0,14
23.0,14
9.0,12
9.0,15
23.0,12
11.0,12
2.0,11
3.0,14
12.0,14
8.0,12
0.0,10
18.0,15
6.0,12
13.0,17
3.0,15
5.0,12
19.0,12
5.0,12
17.0,14
9.0,12
2.0,12
6.0,12
5.0,12
7.0,14
7.0,12
13.0,14
4.0,12
6.0,12
13.0,17
21.0,14
5.0,10
4.0,10
13.0,14
4.0,12
9.0,12
23.0,12
4.0,14
7.0,15
4.0,12
2.0,10
13.0,15
23.0,14
8.0,12
6.0,12
5.0,14
14.0,12
2.0,17
3.0,15
3.0,11
0.0,12
23.0,12
4.0,12
14.0,15
11.0,12
4.0,15
1.0,10
9.0,12
3.0,15
0.0,11
5.0,12
3.0,17
6.0,14
15.0,12
15.0,15
5.0,15
1.0,12
